RegionName,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30
California,270679.8213215104,273283.51752021565,275887.21371892083,278490.909917626,281094.6061163312,283698.3023150364,286301.9985137416,288905.69471244677,291509.39091115195,294113.0871098572,296716.78330856236,299320.47950726753,301924.1757059727,304527.87190467794,307131.5681033831,309735.2643020883,312338.9605007935,314942.6566994987,317546.3528982039,320150.04909690906,322753.74529561424,325357.4414943195,327961.13769302465,330564.8338917298,333168.53009043506,335772.22628914024,338375.9224878454,340979.6186865506,343583.3148852558,346187.011083961,348790.7072826662,351394.40348137135,353998.0996800766,356601.79587878176,359205.49207748694,361809.1882761922,364412.8844748973,367016.5806736025,369620.27687230776,372223.9730710129,374827.6692697181,377431.36546842323,380035.06166712847,382638.7578658337,385242.4540645388,387846.15026324405,390449.8464619493,393053.5426606544,395657.23885935964,398260.93505806476,400864.63125677,403468.3274554752,406072.02365418035,408675.7198528856,411279.4160515908,413883.11225029593,416486.80844900117,419090.5046477064,421694.2008464115,424297.89704511676,426901.5932438219,429505.2894425271,432108.98564123234,434712.68183993746,437316.3780386427,439920.07423734793,442523.77043605305,445127.4666347583,447731.1628334634,450334.85903216864,452938.55523087387,455542.251429579,458145.9476282842,460749.64382698946,463353.3400256946,465957.0362243998,468560.7324231049,471164.42862181016,473768.1248205154,476371.8210192205,478975.51721792575,481579.213416631,484182.9096153361,486786.60581404134,489390.30201274646,491993.9982114517,494597.6944101569,497201.39060886204,499805.0868075673,502408.7830062725,505012.47920497763,507616.17540368286,510219.8716023881,512823.5678010932,515427.26399979845,518030.96019850357,520634.6563972088,523238.35259591404,525842.0487946192,528445.7449933244,531049.4411920296,533653.1373907347,536256.83358944,538860.5297881451,541464.2259868503,544067.9221855556,546671.6183842607,549275.3145829659,551879.0107816712,554482.7069803763,557086.4031790815,559690.0993777866,562293.7955764919,564897.4917751971,567501.1879739022,570104.8841726074,572708.5803713127,575312.2765700178,577915.972768723,580519.6689674282,583123.3651661334,585727.0613648386,588330.7575635437,590934.453762249,593538.1499609542,596141.8461596593,598745.5423583646,601349.2385570698,603952.9347557749,606556.6309544801,609160.3271531853,611764.0233518905,614367.7195505957,616971.4157493009,619575.1119480061,622178.8081467113,624782.5043454164,627386.2005441217
Texas,119489.24293019624,120223.05498652291,120956.86704284958,121690.67909917625,122424.49115550294,123158.30321182961,123892.11526815628,124625.92732448295,125359.73938080962,126093.55143713631,126827.36349346298,127561.17554978965,128294.98760611634,129028.799662443,129762.61171876968,130496.42377509637,131230.23583142302,131964.0478877497,132697.85994407636,133431.67200040305,134165.48405672974,134899.2961130564,135633.10816938308,136366.92022570973,137100.73228203642,137834.5443383631,138568.35639468976,139302.16845101645,140035.9805073431,140769.7925636698,141503.60461999648,142237.41667632313,142971.22873264982,143705.04078897648,144438.85284530316,145172.66490162985,145906.4769579565,146640.2890142832,147374.10107060988,148107.91312693653,148841.72518326322,149575.53723958987,150309.34929591656,151043.16135224325,151776.9734085699,152510.7854648966,153244.59752122324,153978.40957754993,154712.22163387662,155446.03369020327,156179.84574652996,156913.65780285661,157647.4698591833,158381.28191551,159115.09397183664,159848.90602816333,160582.71808448998,161316.53014081667,162050.34219714336,162784.15425347,163517.9663097967,164251.77836612338,164985.59042245004,165719.40247877673,166453.21453510338,167187.02659143007,167920.83864775675,168654.6507040834,169388.4627604101,170122.27481673675,170856.08687306344,171589.89892939012,172323.71098571678,173057.52304204347,173791.33509837012,174525.1471546968,175258.9592110235,175992.77126735015,176726.58332367684,177460.39538000352,178194.20743633018,178928.01949265687,179661.83154898352,180395.6436053102,181129.4556616369,181863.26771796355,182597.07977429024,183330.8918306169,184064.70388694358,184798.51594327026,185532.32799959692,186266.1400559236,186999.95211225026,187733.76416857695,188467.57622490363,189201.3882812303,189935.20033755698,190669.01239388363,191402.82445021032,192136.636506537,192870.44856286366,193604.26061919035,194338.07267551703,195071.8847318437,195805.69678817037,196539.50884449703,197273.32090082372,198007.1329571504,198740.94501347706,199474.75706980375,200208.5691261304,200942.3811824571,201676.19323878377,202410.00529511043,203143.81735143712,203877.62940776377,204611.44146409046,205345.25352041714,206079.0655767438,206812.8776330705,207546.68968939717,208280.50174572383,209014.3138020505,209748.12585837717,210481.93791470386,211215.74997103054,211949.5620273572,212683.37408368388,213417.18614001054,214150.99819633723,214884.8102526639,215618.62230899057,216352.43436531725,217086.2464216439,217820.0584779706,218553.87053429728,219287.68259062394,220021.49464695062
New York,244422.54608156788,244938.91428571427,245455.2824898607,245971.6506940071,246488.0188981535,247004.38710229992,247520.75530644634,248037.12351059273,248553.49171473915,249069.85991888557,249586.22812303196,250102.59632717838,250618.9645313248,251135.3327354712,251651.7009396176,252168.06914376403,252684.43734791043,253200.80555205682,253717.17375620324,254233.54196034966,254749.91016449605,255266.27836864247,255782.6465727889,256299.01477693528,256815.3829810817,257331.75118522812,257848.1193893745,258364.48759352093,258880.85579766735,259397.22400181374,259913.59220596016,260429.96041010658,260946.32861425297,261462.69681839936,261979.06502254578,262495.4332266922,263011.8014308386,263528.16963498504,264044.53783913143,264560.9060432778,265077.2742474242,265593.64245157066,266110.01065571705,266626.3788598635,267142.7470640099,267659.1152681563,268175.4834723027,268691.8516764491,269208.2198805955,269724.5880847419,270240.95628888835,270757.32449303474,271273.69269718113,271790.0609013275,272306.429105474,272822.79730962036,273339.1655137668,273855.5337179132,274371.9019220596,274888.270126206,275404.63833035243,275921.0065344988,276437.3747386453,276953.74294279166,277470.11114693806,277986.47935108445,278502.84755523084,279019.2157593773,279535.5839635237,280051.9521676701,280568.3203718165,281084.6885759629,281601.0567801093,282117.42498425575,282633.79318840214,283150.1613925486,283666.529596695,284182.89780084137,284699.26600498776,285215.6342091342,285732.0024132806,286248.370617427,286764.73882157344,287281.10702571983,287797.4752298662,288313.8434340126,288830.21163815906,289346.57984230545,289862.9480464519,290379.3162505983,290895.6844547447,291412.0526588911,291928.42086303746,292444.7890671839,292961.15727133036,293477.52547547675,293993.89367962314,294510.26188376953,295026.6300879159,295542.9982920624,296059.3664962088,296575.7347003552,297092.1029045016,297608.471108648,298124.8393127944,298641.20751694083,299157.5757210872,299673.9439252337,300190.31212938007,300706.68033352646,301223.04853767285,301739.41674181924,302255.7849459657,302772.15315011214,303288.5213542585,303804.8895584049,304321.2577625513,304837.6259666977,305353.99417084415,305870.36237499054,306386.730579137,306903.0987832834,307419.46698742977,307935.83519157616,308452.20339572255,308968.571599869,309484.93980401545,310001.30800816184,310517.67621230823,311034.0444164546,311550.412620601,312066.78082474746,312583.1490288939,313099.5172330403,313615.8854371867,314132.2536413331,314648.6218454795,315164.9900496259
Florida,125157.05257828048,126191.42533692723,127225.79809557399,128260.17085422075,129294.54361286748,130328.91637151423,131363.289130161,132397.66188880772,133432.03464745448,134466.40740610124,135500.780164748,136535.15292339472,137569.52568204148,138603.89844068824,139638.27119933497,140672.64395798172,141707.01671662848,142741.38947527524,143775.76223392197,144810.13499256872,145844.50775121548,146878.8805098622,147913.25326850897,148947.62602715573,149981.99878580245,151016.3715444492,152050.74430309597,153085.11706174273,154119.48982038946,155153.8625790362,156188.23533768297,157222.6080963297,158256.98085497646,159291.3536136232,160325.72637226997,161360.0991309167,162394.47188956346,163428.84464821022,164463.21740685694,165497.5901655037,166531.96292415046,167566.33568279722,168600.70844144395,169635.0812000907,170669.45395873746,171703.8267173842,172738.19947603095,173772.5722346777,174806.94499332446,175841.3177519712,176875.69051061795,177910.0632692647,178944.43602791143,179978.8087865582,181013.18154520495,182047.5543038517,183081.92706249843,184116.2998211452,185150.67257979195,186185.04533843868,187219.41809708544,188253.7908557322,189288.16361437895,190322.53637302568,191356.90913167244,192391.2818903192,193425.65464896592,194460.02740761268,195494.40016625944,196528.77292490617,197563.14568355292,198597.51844219968,199631.89120084644,200666.26395949317,201700.63671813993,202735.00947678668,203769.3822354334,204803.75499408017,205838.12775272693,206872.50051137368,207906.8732700204,208941.24602866717,209975.61878731393,211009.99154596066,212044.3643046074,213078.73706325417,214113.1098219009,215147.4825805477,216181.85533919442,217216.22809784114,218250.60085648793,219284.97361513466,220319.3463737814,221353.71913242817,222388.0918910749,223422.46464972163,224456.83740836842,225491.21016701515,226525.58292566193,227559.95568430866,228594.3284429554,229628.70120160218,230663.0739602489,231697.44671889563,232731.81947754242,233766.19223618915,234800.56499483588,235834.93775348266,236869.3105121294,237903.68327077612,238938.0560294229,239972.42878806964,241006.80154671642,242041.17430536315,243075.54706400988,244109.91982265667,245144.2925813034,246178.66533995012,247213.0380985969,248247.41085724364,249281.78361589037,250316.15637453715,251350.52913318388,252384.9018918306,253419.2746504774,254453.64740912413,255488.0201677709,256522.39292641764,257556.76568506437,258591.13844371116,259625.51120235788,260659.8839610046,261694.2567196514,262728.6294782981,263763.00223694486,264797.37499559164,265831.7477542384,266866.1205128851
Illinois,159421.51968158805,159766.84959568735,160112.17950978666,160457.50942388593,160802.83933798524,161148.16925208454,161493.49916618384,161838.82908028315,162184.15899438245,162529.48890848176,162874.81882258106,163220.14873668036,163565.47865077967,163910.80856487897,164256.13847897825,164601.46839307755,164946.79830717685,165292.12822127616,165637.45813537546,165982.78804947477,166328.11796357407,166673.44787767337,167018.77779177268,167364.10770587198,167709.4376199713,168054.7675340706,168400.0974481699,168745.4273622692,169090.7572763685,169436.0871904678,169781.4171045671,170126.7470186664,170472.07693276572,170817.40684686502,171162.73676096433,171508.06667506363,171853.3965891629,172198.7265032622,172544.0564173615,172889.38633146082,173234.71624556012,173580.04615965943,173925.37607375873,174270.70598785803,174616.03590195734,174961.3658160566,175306.69573015592,175652.02564425522,175997.35555835452,176342.68547245383,176688.01538655313,177033.34530065244,177378.67521475174,177724.00512885104,178069.33504295035,178414.66495704965,178759.99487114896,179105.32478524826,179450.65469934756,179795.98461344687,180141.31452754617,180486.64444164548,180831.97435574478,181177.30426984408,181522.6341839434,181867.9640980427,182213.294012142,182558.6239262413,182903.95384034057,183249.28375443988,183594.61366853918,183939.9435826385,184285.2734967378,184630.6034108371,184975.9333249364,185321.2632390357,185666.593153135,186011.92306723428,186357.2529813336,186702.5828954329,187047.9128095322,187393.2427236315,187738.5726377308,188083.9025518301,188429.2324659294,188774.5623800287,189119.89229412802,189465.22220822732,189810.55212232663,190155.88203642593,190501.21195052523,190846.54186462454,191191.87177872384,191537.20169282315,191882.53160692245,192227.86152102175,192573.19143512106,192918.52134922036,193263.85126331967,193609.18117741897,193954.51109151824,194299.84100561755,194645.17091971685,194990.50083381616,195335.83074791546,195681.16066201476,196026.49057611407,196371.82049021337,196717.15040431268,197062.48031841195,197407.81023251126,197753.14014661056,198098.47006070986,198443.79997480917,198789.12988890847,199134.45980300778,199479.78971710708,199825.11963120638,200170.4495453057,200515.779459405,200861.1093735043,201206.4392876036,201551.7692017029,201897.0991158022,202242.4290299015,202587.75894400082,202933.08885810012,203278.41877219942,203623.74868629873,203969.07860039803,204314.40851449734,204659.73842859664,205005.06834269591,205350.39825679522,205695.72817089452,206041.05808499383,206386.38799909313,206731.71791319243
Pennsylvania,157527.1082802227,157736.14177897575,157945.1752777288,158154.20877648186,158363.2422752349,158572.27577398796,158781.30927274103,158990.34277149406,159199.37627024713,159408.4097690002,159617.44326775323,159826.4767665063,160035.51026525933,160244.5437640124,160453.57726276544,160662.6107615185,160871.64426027157,161080.6777590246,161289.71125777767,161498.74475653074,161707.77825528377,161916.81175403684,162125.84525278988,162334.87875154294,162543.91225029598,162752.94574904905,162961.9792478021,163171.01274655515,163380.04624530821,163589.07974406128,163798.11324281432,164007.14674156738,164216.18024032042,164425.2137390735,164634.24723782652,164843.2807365796,165052.31423533265,165261.3477340857,165470.38123283876,165679.41473159182,165888.44823034486,166097.48172909793,166306.51522785096,166515.54872660403,166724.58222535707,166933.61572411013,167142.6492228632,167351.68272161623,167560.7162203693,167769.74971912237,167978.7832178754,168187.81671662847,168396.8502153815,168605.88371413457,168814.9172128876,169023.95071164067,169232.98421039374,169442.01770914678,169651.05120789984,169860.0847066529,170069.11820540595,170278.151704159,170487.18520291205,170696.21870166512,170905.25220041815,171114.28569917122,171323.31919792428,171532.35269667732,171741.3861954304,171950.41969418345,172159.4531929365,172368.48669168956,172577.52019044262,172786.55368919566,172995.5871879487,173204.62068670176,173413.65418545483,173622.68768420786,173831.72118296093,174040.754681714,174249.78818046703,174458.8216792201,174667.85517797316,174876.8886767262,175085.92217547924,175294.9556742323,175503.98917298537,175713.0226717384,175922.05617049147,176131.08966924454,176340.12316799758,176549.15666675064,176758.1901655037,176967.22366425674,177176.25716300978,177385.29066176285,177594.3241605159,177803.35765926895,178012.39115802202,178221.42465677508,178430.45815552812,178639.49165428118,178848.52515303425,179057.5586517873,179266.59215054032,179475.6256492934,179684.65914804646,179893.6926467995,180102.72614555256,180311.75964430562,180520.79314305866,180729.82664181173,180938.8601405648,181147.89363931783,181356.9271380709,181565.96063682393,181774.994135577,181984.02763433004,182193.0611330831,182402.09463183617,182611.1281305892,182820.16162934227,183029.19512809534,183238.22862684837,183447.26212560144,183656.29562435448,183865.32912310754,184074.36262186058,184283.39612061364,184492.4296193667,184701.46311811975,184910.4966168728,185119.53011562588,185328.56361437892,185537.59711313198,185746.63061188502,185955.66411063808,186164.69760939112
Ohio,107487.58715771974,107749.16873315364,108010.75030858755,108272.33188402146,108533.91345945538,108795.49503488929,109057.0766103232,109318.65818575711,109580.23976119103,109841.82133662494,110103.40291205884,110364.98448749277,110626.56606292666,110888.14763836059,111149.72921379449,111411.31078922842,111672.89236466232,111934.47394009623,112196.05551553014,112457.63709096405,112719.21866639797,112980.80024183188,113242.38181726579,113503.9633926997,113765.54496813362,114027.12654356752,114288.70811900144,114550.28969443534,114811.87126986927,115073.45284530317,115335.0344207371,115596.615996171,115858.1975716049,116119.77914703882,116381.36072247273,116642.94229790664,116904.52387334056,117166.10544877447,117427.68702420838,117689.2685996423,117950.8501750762,118212.43175051012,118474.01332594402,118735.59490137795,118997.17647681184,119258.75805224577,119520.33962767967,119781.92120311358,120043.5027785475,120305.08435398141,120566.66592941532,120828.24750484923,121089.82908028315,121351.41065571706,121612.99223115097,121874.57380658487,122136.1553820188,122397.7369574527,122659.31853288662,122920.90010832052,123182.48168375445,123444.06325918835,123705.64483462226,123967.22641005617,124228.80798549009,124490.389560924,124751.97113635791,125013.55271179182,125275.13428722574,125536.71586265965,125798.29743809355,126059.87901352748,126321.46058896137,126583.0421643953,126844.6237398292,127106.20531526313,127367.78689069703,127629.36846613094,127890.95004156485,128152.53161699876,128414.11319243268,128675.69476786659,128937.2763433005,129198.8579187344,129460.43949416833,129722.02106960223,129983.60264503615,130245.18422047005,130506.76579590398,130768.34737133788,131029.9289467718,131291.5105222057,131553.09209763963,131814.67367307353,132076.25524850746,132337.83682394135,132599.41839937525,132860.99997480918,133122.58155024308,133384.163125677,133645.7447011109,133907.32627654483,134168.90785197873,134430.48942741266,134692.07100284655,134953.65257828048,135215.23415371438,135476.8157291483,135738.3973045822,135999.97888001613,136261.56045545003,136523.14203088393,136784.72360631786,137046.30518175176,137307.88675718568,137569.46833261958,137831.0499080535,138092.6314834874,138354.21305892133,138615.79463435523,138877.37620978916,139138.95778522306,139400.53936065699,139662.12093609088,139923.7025115248,140185.2840869587,140446.8656623926,140708.44723782653,140970.02881326043,141231.61038869436,141493.19196412826,141754.7735395622,142016.35511499608,142277.93669043,142539.5182658639,142801.09984129784,143062.68141673174,143324.26299216566
Michigan,86339.89440511879,87036.0668463612,87732.23928760362,88428.41172884603,89124.58417008843,89820.75661133084,90516.92905257325,91213.10149381567,91909.27393505808,92605.44637630049,93301.6188175429,93997.7912587853,94693.96370002773,95390.13614127014,96086.30858251255,96782.48102375495,97478.65346499736,98174.82590623978,98870.9983474822,99567.1707887246,100263.34322996701,100959.51567120942,101655.68811245183,102351.86055369423,103048.03299493667,103744.20543617908,104440.37787742149,105136.5503186639,105832.7227599063,106528.89520114871,107225.06764239112,107921.24008363353,108617.41252487594,109313.58496611835,110009.75740736078,110705.92984860319,111402.1022898456,112098.27473108801,112794.44717233042,113490.61961357282,114186.79205481523,114882.96449605764,115579.13693730005,116275.30937854246,116971.4818197849,117667.6542610273,118363.82670226971,119059.99914351212,119756.17158475453,120452.34402599694,121148.51646723934,121844.68890848175,122540.86134972416,123237.03379096657,123933.206232209,124629.37867345141,125325.55111469382,126021.72355593623,126717.89599717864,127414.06843842105,128110.24087966346,128806.41332090586,129502.58576214827,130198.75820339068,130894.93064463312,131591.1030858755,132287.27552711795,132983.44796836033,133679.62040960276,134375.79285084514,135071.96529208758,135768.13773332996,136464.3101745724,137160.48261581478,137856.6550570572,138552.82749829965,139248.99993954203,139945.17238078447,140641.34482202685,141337.51726326928,142033.68970451166,142729.8621457541,143426.03458699648,144122.20702823892,144818.37946948136,145514.55191072373,146210.72435196617,146906.89679320855,147603.069234451,148299.24167569337,148995.4141169358,149691.58655817818,150387.75899942062,151083.93144066306,151780.10388190544,152476.27632314787,153172.44876439025,153868.6212056327,154564.79364687507,155260.9660881175,155957.1385293599,156653.31097060232,157349.4834118447,158045.65585308714,158741.82829432958,159438.00073557196,160134.1731768144,160830.34561805677,161526.5180592992,162222.6905005416,162918.86294178403,163615.0353830264,164311.20782426884,165007.38026551128,165703.55270675366,166399.7251479961,167095.89758923848,167792.0700304809,168488.2424717233,169184.41491296573,169880.5873542081,170576.75979545055,171272.93223669293,171969.10467793536,172665.2771191778,173361.44956042018,174057.62200166262,174753.794442905,175449.96688414743,176146.1393253898,176842.31176663225,177538.48420787463,178234.65664911707,178930.8290903595,179627.00153160188,180323.17397284432,181019.3464140867,181715.51885532914
Georgia,115815.72251303623,116464.2140161725,117112.70551930874,117761.197022445,118409.68852558127,119058.18002871751,119706.67153185378,120355.16303499004,121003.65453812628,121652.14604126255,122300.6375443988,122949.12904753505,123597.62055067132,124246.11205380758,124894.60355694384,125543.09506008009,126191.58656321635,126840.07806635261,127488.56956948886,128137.06107262512,128785.55257576138,129434.04407889763,130082.53558203389,130731.02708517015,131379.5185883064,132028.01009144267,132676.5015945789,133324.9930977152,133973.48460085143,134621.9761039877,135270.46760712395,135918.95911026018,136567.45061339648,137215.9421165327,137864.43361966897,138512.92512280523,139161.4166259415,139809.90812907775,140458.39963221402,141106.89113535025,141755.3826384865,142403.87414162277,143052.36564475903,143700.8571478953,144349.34865103156,144997.84015416782,145646.33165730405,146294.8231604403,146943.31466357657,147591.80616671283,148240.2976698491,148888.78917298536,149537.2806761216,150185.77217925785,150834.2636823941,151482.75518553038,152131.24668866664,152779.7381918029,153428.22969493916,154076.7211980754,154725.21270121165,155373.70420434792,156022.19570748418,156670.68721062044,157319.1787137567,157967.67021689296,158616.1617200292,159264.65322316546,159913.14472630172,160561.63622943798,161210.12773257424,161858.6192357105,162507.11073884674,163155.602241983,163804.09374511926,164452.58524825552,165101.07675139178,165749.56825452804,166398.0597576643,167046.55126080054,167695.0427639368,168343.53426707306,168992.02577020932,169640.51727334558,170289.00877648185,170937.50027961808,171585.99178275434,172234.4832858906,172882.97478902686,173531.46629216312,174179.9577952994,174828.44929843565,175476.94080157188,176125.43230470814,176773.9238078444,177422.41531098066,178070.90681411693,178719.3983172532,179367.88982038942,180016.38132352568,180664.87282666194,181313.3643297982,181961.85583293447,182610.34733607073,183258.838839207,183907.33034234322,184555.82184547948,185204.31334861575,185852.804851752,186501.29635488827,187149.78785802453,187798.27936116076,188446.77086429702,189095.2623674333,189743.75387056955,190392.2453737058,191040.73687684207,191689.22837997833,192337.71988311457,192986.21138625083,193634.7028893871,194283.19439252335,194931.6858956596,195580.17739879587,196228.66890193213,196877.16040506837,197525.65190820463,198174.1434113409,198822.63491447715,199471.1264176134,200119.61792074968,200768.1094238859,201416.60092702217,202065.09243015843,202713.5839332947,203362.07543643095,204010.56693956722,204659.05844270348
North Carolina,146097.43539814092,146458.00539083558,146818.57538353023,147179.1453762249,147539.71536891957,147900.28536161422,148260.85535430888,148621.42534700356,148981.99533969822,149342.56533239287,149703.13532508753,150063.7053177822,150424.27531047686,150784.84530317152,151145.4152958662,151505.98528856086,151866.5552812555,152227.12527395017,152587.69526664482,152948.26525933947,153308.83525203416,153669.4052447288,154029.9752374235,154390.54523011815,154751.1152228128,155111.68521550746,155472.2552082021,155832.8252008968,156193.39519359145,156553.96518628614,156914.5351789808,157275.10517167544,157635.6751643701,157996.24515706475,158356.8151497594,158717.3851424541,159077.95513514875,159438.52512784343,159799.09512053808,160159.66511323274,160520.2351059274,160880.80509862205,161241.3750913167,161601.9450840114,161962.51507670604,162323.08506940072,162683.65506209538,163044.22505479003,163404.7950474847,163765.36504017934,164125.935032874,164486.50502556868,164847.07501826333,165207.64501095802,165568.21500365267,165928.78499634733,166289.35498904198,166649.92498173664,167010.49497443132,167371.06496712597,167731.63495982066,168092.2049525153,168452.77494520997,168813.34493790462,169173.91493059928,169534.48492329393,169895.0549159886,170255.62490868327,170616.19490137795,170976.7648940726,171337.33488676726,171697.90487946192,172058.47487215657,172419.04486485122,172779.6148575459,173140.18485024056,173500.75484293525,173861.3248356299,174221.89482832456,174582.4648210192,174943.03481371386,175303.60480640852,175664.1747991032,176024.74479179786,176385.31478449254,176745.8847771872,177106.45476988185,177467.0247625765,177827.59475527116,178188.16474796584,178548.7347406605,178909.30473335518,179269.87472604983,179630.4447187445,179991.01471143914,180351.5847041338,180712.15469682845,181072.72468952314,181433.2946822178,181793.86467491247,182154.43466760713,182515.00466030178,182875.57465299644,183236.1446456911,183596.71463838575,183957.28463108043,184317.85462377509,184678.42461646977,185038.99460916442,185399.56460185908,185760.13459455373,186120.7045872484,186481.27457994304,186841.84457263772,187202.41456533238,187562.98455802706,187923.55455072172,188284.12454341637,188644.69453611103,189005.26452880568,189365.83452150034,189726.40451419502,190086.9745068897,190447.54449958436,190808.114492279,191168.68448497367,191529.25447766832,191889.82447036298,192250.39446305766,192610.9644557523,192971.534448447,193332.10444114165,193692.6744338363,194053.24442653096,194413.81441922561,194774.38441192027,195134.95440461495,195495.5243973096
