State,Actual,11-19 Growth,96-04 Growth,11-19 Difference,96-04 Difference
California,683996.0,627386.2005441217,710181.506420691,56609.799455878325,-26185.506420691032
Texas,247210.0,220021.49464695062,176924.80681407126,27188.505353049375,70285.19318592874
New York,371880.0,315164.9900496259,393597.9145867245,56715.00995037408,-21717.91458672448
Florida,297390.0,266866.1205128851,291441.700386598,30523.8794871149,5948.299613401992
Illinois,233661.0,206731.71791319243,345834.24433667934,26929.282086807565,-112173.24433667934
Pennsylvania,234684.0,186164.69760939112,208310.2745636643,48519.30239060888,26373.72543633569
Ohio,181756.0,143324.26299216566,203905.29471875564,38431.73700783434,-22149.294718755642
Michigan,208337.0,181715.51885532914,286006.270053355,26621.481144670863,-77669.27005335502
Georgia,245778.0,204659.05844270348,290472.67262389226,41118.94155729652,-44694.67262389226
North Carolina,248950.0,195495.5243973096,236004.0210141979,53454.47560269039,12945.978985802096
New Jersey,408517.0,326171.5531904174,544220.9976826733,82345.44680958259,-135703.99768267327
Virginia,328640.0,281759.98443207296,328603.60935521795,46880.01556792704,36.390644782048184
Washington,519552.0,415931.45290576114,374912.98022924585,103620.54709423886,144639.01977075415
Massachusetts,518203.0,441888.55840491725,751616.7029300054,76314.44159508275,-233413.70293000538
Indiana,185805.0,149067.3234753256,87044.8749321758,36737.6765246744,98760.1250678242
Arizona,355540.0,279673.7659772779,289968.78459034185,75866.23402272211,65571.21540965815
Tennessee,231682.0,185780.8923092425,194249.74172544765,45901.10769075749,37432.258274552354
Missouri,194226.0,158729.51641181955,218616.2543181407,35496.48358818045,-24390.25431814071
Maryland,366581.0,316452.9939290122,366126.68656176527,50128.00607098779,454.31343823473435
Wisconsin,230733.0,184992.23445096606,245439.8647811539,45740.76554903394,-14706.864781153912
Minnesota,301576.0,265535.45786835277,433218.0271635921,36040.542131647235,-131642.0271635921
Colorado,490944.0,437205.02166410565,500583.6653667029,53738.97833589435,-9639.665366702888
Alabama,170184.0,137375.28405169153,177651.20739509858,32808.71594830847,-7467.20739509858
South Carolina,225406.0,186387.68697886492,231866.04071712785,39018.31302113508,-6460.040717127849
Louisiana,187844.0,174572.9954404615,215521.6459237656,13271.004559538502,-27677.64592376561
Kentucky,168998.0,142403.55349270726,175836.1506827636,26594.44650729274,-6838.150682763604
Oregon,447968.0,391045.7098017483,299774.4872716586,56922.29019825172,148193.5127283414
Oklahoma,150754.0,130403.07003048089,154342.11011258818,20350.929969519115,-3588.1101125881833
Connecticut,318096.0,244744.30984709173,459260.78811720025,73351.69015290827,-141164.78811720025
Iowa,165955.0,152987.4180416656,176230.64590115752,12967.581958334398,-10275.64590115752
Mississippi,140818.0,122266.75877270322,145254.63419017906,18551.241227296778,-4436.634190179058
Arkansas,149120.0,128661.65236667759,139618.64518900344,20458.34763332241,9501.354810996563
Kansas,176898.0,149419.96692445272,178303.5904548743,27478.033075547282,-1405.5904548742983
Utah,465012.0,354509.98725344485,260412.30405588713,110502.01274655515,204599.69594411287
Nevada,368254.0,325250.719651359,330160.83478024957,43003.28034864098,38093.16521975043
New Mexico,248670.0,191093.19134947224,,57576.80865052776,
West Virginia,117768.0,107897.47681184976,113984.877385151,9870.52318815024,3783.122614848995
Nebraska,206538.0,176708.7361261556,190676.1575782239,29829.263873844407,15861.842421776091
Idaho,403291.0,269720.77726276545,189292.81078178697,133570.22273723455,213998.18921821303
Hawaii,730511.0,705974.8946519888,389642.8260535359,24536.105348011246,340868.1739464641
Maine,306018.0,231517.8727611658,331616.3572752758,74500.12723883419,-25598.357275275805
New Hampshire,366129.0,289672.9438244704,490309.6446577139,76456.05617552961,-124180.64465771388
Rhode Island,372809.0,294547.33526462957,466924.68144103826,78261.66473537043,-94115.68144103826
Montana,359678.0,291308.59004458773,,68369.40995541227,
Delaware,308067.0,255055.0092450311,329360.38605534454,53011.990754968894,-21293.38605534454
South Dakota,242923.0,216025.9235206691,183544.93144103815,26897.07647933089,59378.06855896185
Alaska,300592.0,287564.14446935535,340952.24346626876,13027.85553064465,-40360.24346626876
North Dakota,246588.0,266530.47363780637,,-19942.473637806368,
Vermont,299998.0,253158.37796307023,299215.18361141253,46839.622036929766,782.8163885874674
District of Columbia,691997.0,692045.6612338463,607909.7153531378,-48.661233846331015,84087.28464686219
Wyoming,273992.0,253978.9773282616,,20013.022671738407,
