RegionID,102001,394913,753899,394463,394514,394974,394692,395209,394856,394347,394404,395057,394532,395025,394976,395078,394865,395056,395121,395148,394358,394530,394982,394998,394458,395045,395055,394943,394466,394475,394735,394775,394492,394705,395059,394355,395194,394902,395005,394862,394714,394849,394935,394807,394669,395022,394910,394425,395012,394388,395053,395031,394640,395167,395169,394619,395238,394415,394312,394308,394938,394908,394357,394753,394653,394952,394318,394561,394367,394521,394843,394486,394648,394304,753906,394798,395134,394457,395143,394484,395235,395224,395115,394440,394399,395160,394816,394766,394931,394528,394531,394711,394352,394666,395006,394602
SizeRank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94,96,100,159
RegionName,United States,"New York, NY","Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Philadelphia, PA","Houston, TX","Washington, DC","Miami-Fort Lauderdale, FL","Atlanta, GA","Boston, MA","San Francisco, CA","Detroit, MI","Riverside, CA","Phoenix, AZ","Seattle, WA","Minneapolis-St Paul, MN","San Diego, CA","St. Louis, MO","Tampa, FL","Baltimore, MD","Denver, CO","Pittsburgh, PA","Portland, OR","Charlotte, NC","Sacramento, CA","San Antonio, TX","Orlando, FL","Cincinnati, OH","Cleveland, OH","Kansas City, MO","Las Vegas, NV","Columbus, OH","Indianapolis, IN","San Jose, CA","Austin, TX","Virginia Beach, VA","Nashville, TN","Providence, RI","Milwaukee, WI","Jacksonville, FL","Memphis, TN","Oklahoma City, OK","Louisville-Jefferson County, KY","Hartford, CT","Richmond, VA","New Orleans, LA","Buffalo, NY","Raleigh, NC","Birmingham, AL","Salt Lake City, UT","Rochester, NY","Grand Rapids, MI","Tucson, AZ","Tulsa, OK","Fresno, CA","Worcester, MA","Stamford, CT","Albuquerque, NM","Albany, NY","Omaha, NE","New Haven, CT","Bakersfield, CA","Knoxville, TN","Greenville, SC","Ventura, CA","Allentown, PA","El Paso, TX","Baton Rouge, LA","Dayton, OH","McAllen, TX","Columbia, SC","Greensboro, NC","Akron, OH","North Port-Sarasota-Bradenton, FL","Little Rock, AR","Stockton, CA","Charleston, SC","Syracuse, NY","Colorado Springs, CO","Winston-Salem, NC","Wichita, KS","Springfield, MA","Fort Myers, FL","Boise City, ID","Toledo, OH","Madison, WI","Lakeland, FL","Ogden, UT","Daytona Beach, FL","Des Moines, IA","Jackson, MS","Augusta, GA","Harrisburg, PA","Provo, UT","Fort Collins, CO"
RegionType,Country,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa
StateName,,NY,CA,IL,TX,PA,TX,DC,FL,GA,MA,CA,MI,CA,AZ,WA,MN,CA,MO,FL,MD,CO,PA,OR,NC,CA,TX,FL,OH,OH,MO,NV,OH,IN,CA,TX,VA,TN,RI,WI,FL,TN,OK,KY,CT,VA,LA,NY,NC,AL,UT,NY,MI,AZ,OK,CA,MA,CT,NM,NY,NE,CT,CA,TN,SC,CA,PA,TX,LA,OH,TX,SC,NC,OH,FL,AR,CA,SC,NY,CO,NC,KS,MA,FL,ID,OH,WI,FL,UT,FL,IA,MS,GA,PA,UT,CO
2018-01-06,78.0,103.0,50.0,89.0,64.0,86.0,75.0,71.0,89.0,65.0,54.0,34.0,59.0,55.0,68.0,44.0,68.0,47.0,77.0,58.0,77.0,44.0,101.0,59.0,56.0,48.0,75.0,62.0,65.0,87.0,69.0,65.0,44.0,65.0,25.0,70.0,112.0,39.0,74.0,59.0,72.0,69.0,,73.0,,79.0,82.0,64.0,49.0,82.0,42.0,73.0,49.0,61.0,92.0,35.0,54.0,,77.0,99.0,76.0,,85.0,85.0,66.0,53.0,91.0,91.0,,63.0,,,96.0,83.0,83.0,,46.0,77.0,105.0,45.0,84.0,75.0,79.0,89.0,48.0,78.0,85.0,53.0,43.0,58.0,67.0,96.0,,79.0,59.0,61.0
2018-01-13,79.0,106.0,52.0,89.0,64.0,89.0,75.0,74.0,86.0,65.0,55.0,36.0,60.0,56.0,66.0,45.0,69.0,46.0,75.0,54.0,80.0,45.0,102.0,59.0,56.0,47.0,77.0,62.0,68.0,89.0,66.0,64.0,43.0,66.0,29.0,71.0,110.0,41.0,77.0,56.0,73.0,72.0,,74.0,105.0,75.0,80.0,66.0,50.0,86.0,45.0,75.0,47.0,59.0,93.0,43.0,62.0,99.0,80.0,103.0,49.0,96.0,88.0,87.0,67.0,52.0,99.0,89.0,,61.0,,,92.0,85.0,79.0,119.0,43.0,78.0,107.0,48.0,84.0,78.0,83.0,84.0,52.0,78.0,82.0,61.0,48.0,65.0,68.0,90.0,,84.0,56.0,69.0
2018-01-20,79.0,106.0,52.0,87.0,64.0,92.0,77.0,74.0,84.0,65.0,56.0,34.0,59.0,56.0,63.0,40.0,69.0,46.0,73.0,58.0,78.0,43.0,101.0,60.0,54.0,46.0,79.0,65.0,70.0,89.0,67.0,57.0,47.0,66.0,29.0,71.0,110.0,44.0,80.0,57.0,74.0,71.0,68.0,70.0,98.0,70.0,78.0,71.0,52.0,88.0,49.0,78.0,49.0,61.0,93.0,40.0,63.0,112.0,76.0,100.0,49.0,115.0,85.0,84.0,65.0,55.0,91.0,92.0,,62.0,83.0,92.0,92.0,84.0,85.0,132.0,44.0,77.0,95.0,49.0,90.0,78.0,85.0,86.0,56.0,79.0,78.0,60.0,50.0,58.0,66.0,93.0,,82.0,50.0,70.0
2018-01-27,78.0,107.0,50.0,87.0,64.0,91.0,76.0,72.0,85.0,61.0,53.0,33.0,59.0,54.0,57.0,39.0,71.0,49.0,75.0,58.0,77.0,40.0,103.0,58.0,51.0,43.0,80.0,64.0,62.0,91.0,63.0,58.0,47.0,65.0,26.0,66.0,117.0,50.0,75.0,62.0,70.0,76.0,,58.0,96.0,71.0,78.0,71.0,49.0,88.0,50.0,81.0,55.0,63.0,94.0,37.0,59.0,123.0,72.0,101.0,46.0,108.0,82.0,79.0,66.0,54.0,90.0,94.0,,60.0,,,91.0,85.0,85.0,126.0,42.0,74.0,101.0,50.0,99.0,73.0,76.0,92.0,62.0,78.0,83.0,70.0,53.0,65.0,71.0,97.0,,83.0,47.0,74.0
2018-02-03,75.0,104.0,46.0,83.0,62.0,87.0,73.0,73.0,84.0,60.0,51.0,29.0,57.0,54.0,56.0,33.0,65.0,45.0,71.0,58.0,77.0,34.0,104.0,54.0,51.0,39.0,79.0,65.0,60.0,90.0,61.0,67.0,47.0,61.0,25.0,62.0,109.0,48.0,71.0,63.0,66.0,72.0,77.0,60.0,100.0,67.0,79.0,71.0,47.0,81.0,48.0,75.0,47.0,64.0,91.0,45.0,64.0,113.0,70.0,93.0,40.0,109.0,71.0,82.0,62.0,48.0,91.0,106.0,,59.0,74.0,104.0,88.0,82.0,88.0,98.0,38.0,71.0,100.0,44.0,99.0,73.0,70.0,91.0,60.0,79.0,77.0,70.0,49.0,73.0,68.0,91.0,,80.0,42.0,71.0
