RegionID,102001,394913,753899,394463,394514,394974,394692,395209,394856,394347,394404,395057,394532,395025,394976,395078,394865,395056,395121,395148,394358,394530,394982,394998,394458,395045,395055,394943,394466,394735,394775,394492,394705,395059,394355,395194,394902,395005,394862,394714,394849,394935,394807,394669,395022,394910,394425,395012,394388,395053,395031,394640,395167,753924,395169,394619,395238,394415,394312,394308,394938,394908,394357,394753,394653,394952,394318,394561,394367,394521,394843,394486,394648,394304,753906,394798,395134,394457,395143,394484,395235,395224,395115,394440,394399,395160,394816,394766,394931,394528,394531,394711,394352,394666,395006,394602
SizeRank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94,96,100,159
RegionName,United States,"New York, NY","Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Philadelphia, PA","Houston, TX","Washington, DC","Miami-Fort Lauderdale, FL","Atlanta, GA","Boston, MA","San Francisco, CA","Detroit, MI","Riverside, CA","Phoenix, AZ","Seattle, WA","Minneapolis-St Paul, MN","San Diego, CA","St. Louis, MO","Tampa, FL","Baltimore, MD","Denver, CO","Pittsburgh, PA","Portland, OR","Charlotte, NC","Sacramento, CA","San Antonio, TX","Orlando, FL","Cincinnati, OH","Kansas City, MO","Las Vegas, NV","Columbus, OH","Indianapolis, IN","San Jose, CA","Austin, TX","Virginia Beach, VA","Nashville, TN","Providence, RI","Milwaukee, WI","Jacksonville, FL","Memphis, TN","Oklahoma City, OK","Louisville-Jefferson County, KY","Hartford, CT","Richmond, VA","New Orleans, LA","Buffalo, NY","Raleigh, NC","Birmingham, AL","Salt Lake City, UT","Rochester, NY","Grand Rapids, MI","Tucson, AZ","Urban Honolulu, HI","Tulsa, OK","Fresno, CA","Worcester, MA","Stamford, CT","Albuquerque, NM","Albany, NY","Omaha, NE","New Haven, CT","Bakersfield, CA","Knoxville, TN","Greenville, SC","Ventura, CA","Allentown, PA","El Paso, TX","Baton Rouge, LA","Dayton, OH","McAllen, TX","Columbia, SC","Greensboro, NC","Akron, OH","North Port-Sarasota-Bradenton, FL","Little Rock, AR","Stockton, CA","Charleston, SC","Syracuse, NY","Colorado Springs, CO","Winston-Salem, NC","Wichita, KS","Springfield, MA","Fort Myers, FL","Boise City, ID","Toledo, OH","Madison, WI","Lakeland, FL","Ogden, UT","Daytona Beach, FL","Des Moines, IA","Jackson, MS","Augusta, GA","Harrisburg, PA","Provo, UT","Fort Collins, CO"
RegionType,Country,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa
StateName,,NY,CA,IL,TX,PA,TX,DC,FL,GA,MA,CA,MI,CA,AZ,WA,MN,CA,MO,FL,MD,CO,PA,OR,NC,CA,TX,FL,OH,MO,NV,OH,IN,CA,TX,VA,TN,RI,WI,FL,TN,OK,KY,CT,VA,LA,NY,NC,AL,UT,NY,MI,AZ,HI,OK,CA,MA,CT,NM,NY,NE,CT,CA,TN,SC,CA,PA,TX,LA,OH,TX,SC,NC,OH,FL,AR,CA,SC,NY,CO,NC,KS,MA,FL,ID,OH,WI,FL,UT,FL,IA,MS,GA,PA,UT,CO
2017-11-04,1297949.0,67386.0,19426.0,41171.0,26927.0,24981.0,30777.0,19866.0,41883.0,27380.0,11442.0,5101.0,13661.0,14187.0,21804.0,9360.0,12770.0,5604.0,13841.0,13705.0,10517.0,7910.0,10101.0,7765.0,8640.0,5755.0,8885.0,9900.0,6537.0,9137.0,10897.0,5982.0,8382.0,1298.0,7171.0,10773.0,5597.0,4502.0,4484.0,7395.0,5961.0,7217.0,3718.0,4899.0,5480.0,3325.0,2566.0,5606.0,6154.0,2354.0,2839.0,4083.0,3872.0,2351.0,5059.0,1720.0,2658.0,5560.0,3146.0,2442.0,2477.0,3789.0,1895.0,4311.0,4390.0,1493.0,3829.0,3747.0,3538.0,2511.0,1753.0,5062.0,2334.0,2306.0,7150.0,3854.0,1349.0,5094.0,2791.0,1018.0,2426.0,2202.0,1853.0,10170.0,3696.0,2266.0,2725.0,3086.0,1509.0,4621.0,3570.0,2460.0,3398.0,2588.0,1378.0,3065.0
2017-11-11,1287338.0,66589.0,19041.0,40442.0,26575.0,25310.0,30554.0,20371.0,42186.0,27006.0,11219.0,4949.0,13457.0,14253.0,22126.0,8971.0,12316.0,5572.0,13731.0,13740.0,10654.0,7611.0,10009.0,7568.0,8492.0,5610.0,8822.0,9863.0,6452.0,9063.0,10777.0,5890.0,8247.0,1264.0,7052.0,10669.0,5651.0,4436.0,4364.0,7395.0,5909.0,7179.0,3724.0,4833.0,5391.0,3318.0,2531.0,5514.0,6035.0,2299.0,2810.0,4000.0,3911.0,2355.0,5043.0,1705.0,2602.0,5463.0,3111.0,2401.0,2454.0,3724.0,1901.0,4297.0,4354.0,1476.0,3777.0,3762.0,3529.0,2496.0,1756.0,5028.0,2322.0,2292.0,7244.0,3833.0,1325.0,5089.0,2756.0,998.0,2390.0,2177.0,1825.0,10367.0,3669.0,2255.0,2658.0,3053.0,1486.0,4660.0,3524.0,2448.0,3380.0,2634.0,1357.0,2978.0
2017-11-18,1274429.0,65633.0,18645.0,39565.0,26275.0,25324.0,30247.0,20936.0,42477.0,26566.0,10936.0,4717.0,13236.0,14305.0,22421.0,8540.0,11825.0,5521.0,13626.0,13809.0,10799.0,7302.0,9878.0,7357.0,8356.0,5437.0,8758.0,9828.0,6364.0,8973.0,10669.0,5749.0,8095.0,1217.0,6917.0,10574.0,5665.0,4348.0,4229.0,7375.0,5915.0,7162.0,3722.0,4750.0,5298.0,3300.0,2475.0,5426.0,5956.0,2246.0,2755.0,3916.0,3956.0,2354.0,5015.0,1674.0,2543.0,5345.0,3068.0,2369.0,2422.0,3663.0,1886.0,4258.0,4302.0,1471.0,3719.0,3767.0,3520.0,2475.0,1758.0,5003.0,2307.0,2271.0,7368.0,3800.0,1293.0,5062.0,2702.0,973.0,2352.0,2140.0,1790.0,10565.0,3636.0,2239.0,2573.0,3035.0,1470.0,4694.0,3475.0,2429.0,3341.0,2587.0,1335.0,2877.0
2017-11-25,1256270.0,64374.0,18129.0,38407.0,25756.0,25117.0,29860.0,21635.0,42615.0,25963.0,10506.0,4405.0,12936.0,14297.0,22575.0,8012.0,11214.0,5438.0,13410.0,13819.0,10978.0,6916.0,9699.0,7072.0,8185.0,5205.0,8661.0,9761.0,6274.0,8803.0,10513.0,5582.0,7864.0,1134.0,6715.0,10450.0,5625.0,4232.0,4068.0,7313.0,5911.0,7128.0,3703.0,4674.0,5212.0,3273.0,2391.0,5307.0,5851.0,2185.0,2675.0,3789.0,3969.0,2352.0,4970.0,1638.0,2459.0,5214.0,3012.0,2328.0,2359.0,3589.0,1861.0,4200.0,4255.0,1460.0,3660.0,3759.0,3519.0,2441.0,1747.0,4949.0,2291.0,2227.0,7471.0,3754.0,1250.0,5011.0,2634.0,945.0,2306.0,2111.0,1746.0,10717.0,3553.0,2199.0,2477.0,3017.0,1443.0,4731.0,3409.0,2410.0,3289.0,2577.0,1305.0,2756.0
2017-12-02,1237609.0,63183.0,17652.0,37275.0,25160.0,24612.0,29514.0,22260.0,42823.0,25369.0,10083.0,4091.0,12653.0,14284.0,22654.0,7471.0,10672.0,5306.0,13169.0,13818.0,11137.0,6516.0,9483.0,6732.0,8036.0,4989.0,8508.0,9695.0,6193.0,8642.0,10344.0,5400.0,7671.0,1064.0,6508.0,10352.0,5570.0,4129.0,3924.0,7242.0,5937.0,7044.0,3679.0,4595.0,5107.0,3250.0,2306.0,5166.0,5748.0,2119.0,2584.0,3671.0,3947.0,2350.0,4922.0,1607.0,2372.0,5072.0,2961.0,2269.0,2287.0,3512.0,1834.0,4148.0,4204.0,1450.0,3593.0,3751.0,3497.0,2405.0,1743.0,4912.0,2258.0,2182.0,7562.0,3707.0,1210.0,4958.0,2577.0,915.0,2252.0,2087.0,1694.0,10869.0,3411.0,2160.0,2380.0,3011.0,1417.0,4752.0,3358.0,2386.0,3238.0,2538.0,1278.0,2638.0
2017-12-09,1215106.0,61871.0,17104.0,36136.0,24549.0,23671.0,29122.0,21735.0,43027.0,24846.0,9612.0,3772.0,12337.0,14143.0,22358.0,6993.0,10168.0,5137.0,12877.0,13814.0,10943.0,6146.0,9275.0,6407.0,7893.0,4779.0,8352.0,9617.0,6092.0,8466.0,10180.0,5221.0,7460.0,1000.0,6301.0,10249.0,5486.0,4000.0,3781.0,7153.0,5938.0,6991.0,3607.0,4498.0,4975.0,3235.0,2216.0,5030.0,5654.0,2042.0,2503.0,3541.0,3930.0,2324.0,4869.0,1560.0,2286.0,4933.0,2901.0,2206.0,2205.0,3425.0,1803.0,4104.0,4142.0,1415.0,3507.0,3716.0,3479.0,2352.0,1745.0,4868.0,2216.0,2130.0,7655.0,3654.0,1172.0,4899.0,2521.0,875.0,2204.0,2057.0,1635.0,11066.0,3271.0,2110.0,2295.0,3003.0,1385.0,4759.0,3309.0,2368.0,3201.0,2415.0,1233.0,2527.0
2017-12-16,1187429.0,60272.0,16374.0,34874.0,23700.0,22935.0,28695.0,21031.0,43062.0,24239.0,9075.0,3428.0,11946.0,13874.0,21837.0,6433.0,9594.0,4935.0,12489.0,13644.0,10668.0,5722.0,9057.0,6089.0,7671.0,4510.0,8121.0,9499.0,5926.0,8241.0,9926.0,5029.0,7209.0,924.0,6034.0,10061.0,5342.0,3862.0,3616.0,7036.0,5818.0,6875.0,3494.0,4373.0,4808.0,3195.0,2132.0,4827.0,5522.0,1957.0,2418.0,3382.0,3882.0,2284.0,4795.0,1507.0,2190.0,4768.0,2816.0,2134.0,2141.0,3308.0,1765.0,4044.0,4063.0,1366.0,3426.0,3669.0,3448.0,2297.0,1737.0,4795.0,2156.0,2064.0,7675.0,3596.0,1131.0,4827.0,2457.0,832.0,2157.0,2023.0,1571.0,11199.0,3089.0,2059.0,2203.0,2984.0,1352.0,4733.0,3253.0,2339.0,3162.0,2377.0,1186.0,2415.0
2017-12-23,1166033.0,58893.0,15852.0,33835.0,23056.0,22177.0,28412.0,20113.0,43408.0,23850.0,8613.0,3160.0,11657.0,13732.0,21412.0,5997.0,9118.0,4766.0,12225.0,13598.0,10339.0,5399.0,8898.0,5845.0,7522.0,4331.0,7951.0,9428.0,5789.0,8093.0,9713.0,4849.0,7019.0,871.0,5853.0,9926.0,5233.0,3740.0,3467.0,6993.0,5730.0,6754.0,3392.0,4234.0,4659.0,3173.0,2066.0,4661.0,5435.0,1885.0,2361.0,3261.0,3848.0,2249.0,4733.0,1465.0,2115.0,4601.0,2758.0,2077.0,2108.0,3202.0,1732.0,4009.0,4013.0,1324.0,3342.0,3657.0,3425.0,2250.0,1739.0,4764.0,2118.0,2005.0,7757.0,3545.0,1115.0,4783.0,2406.0,792.0,2125.0,1997.0,1523.0,11407.0,2916.0,2036.0,2109.0,2989.0,1326.0,4724.0,3230.0,2319.0,3145.0,2334.0,1153.0,2324.0
2017-12-30,1132951.0,56855.0,14903.0,32422.0,22005.0,21389.0,27714.0,18965.0,43248.0,23200.0,8005.0,2772.0,11218.0,13349.0,20734.0,5436.0,8519.0,4518.0,11811.0,13380.0,9902.0,4994.0,8678.0,5552.0,7242.0,4038.0,7744.0,9225.0,5573.0,7830.0,9361.0,4610.0,6725.0,767.0,5577.0,9687.0,5047.0,3561.0,3283.0,6854.0,5556.0,6590.0,3262.0,4058.0,4476.0,3128.0,1979.0,4447.0,5328.0,1794.0,2282.0,3075.0,3796.0,2180.0,4632.0,1410.0,2011.0,4402.0,2663.0,2011.0,2046.0,3065.0,1682.0,3939.0,3915.0,1252.0,3234.0,3630.0,3375.0,2179.0,1727.0,4646.0,2063.0,1921.0,7774.0,3464.0,1066.0,4679.0,2324.0,739.0,2074.0,1953.0,1462.0,11499.0,2745.0,1985.0,1989.0,2946.0,1285.0,4675.0,3171.0,2288.0,3087.0,2278.0,1092.0,2209.0
2018-01-06,1107756.0,55268.0,14205.0,31195.0,21114.0,20740.0,27146.0,18069.0,43113.0,22723.0,7527.0,2447.0,10871.0,13065.0,20262.0,4947.0,8036.0,4347.0,11510.0,13227.0,9572.0,4697.0,8505.0,5359.0,7054.0,3803.0,7549.0,9063.0,5419.0,7587.0,9054.0,4432.0,6492.0,663.0,5384.0,9477.0,4903.0,3415.0,3139.0,6752.0,5444.0,6451.0,3181.0,3905.0,4334.0,3084.0,1911.0,4268.0,5259.0,1746.0,2205.0,2936.0,3763.0,2125.0,4558.0,1377.0,1917.0,4237.0,2592.0,1961.0,2007.0,2944.0,1649.0,3875.0,3872.0,1202.0,3151.0,3621.0,3349.0,2115.0,1713.0,4551.0,2029.0,1857.0,7830.0,3420.0,1018.0,4566.0,2259.0,697.0,2034.0,1919.0,1406.0,11594.0,2617.0,1958.0,1897.0,2917.0,1260.0,4639.0,3131.0,2263.0,3043.0,2230.0,1068.0,2108.0
2018-01-13,1089829.0,54005.0,13937.0,30420.0,20589.0,20179.0,26739.0,17358.0,43220.0,22369.0,7192.0,2326.0,10620.0,12981.0,20176.0,4689.0,7677.0,4301.0,11278.0,13332.0,9331.0,4602.0,8389.0,5230.0,6970.0,3698.0,7464.0,9008.0,5313.0,7408.0,8841.0,4277.0,6324.0,625.0,5281.0,9313.0,4813.0,3284.0,3031.0,6713.0,5382.0,6364.0,3147.0,3760.0,4226.0,3067.0,1854.0,4197.0,5213.0,1710.0,2136.0,2836.0,3784.0,2092.0,4532.0,1360.0,1838.0,4085.0,2543.0,1921.0,2028.0,2836.0,1637.0,3818.0,3861.0,1165.0,3070.0,3602.0,3346.0,2063.0,1702.0,4460.0,2008.0,1806.0,7969.0,3371.0,987.0,4511.0,2192.0,672.0,1993.0,1886.0,1358.0,11801.0,2529.0,1930.0,1814.0,2914.0,1232.0,4658.0,3110.0,2252.0,3002.0,2177.0,1025.0,2044.0
