RegionID,753899,394463,394514,394692,394856,394347,394404,395025,394976,394865,395056,395121,394358,394530,394998,394458,395045,395055,394466,394475,394775,394492,394902,394714,394669,394910,394425,395012,394388,395031,395167,395238,394753,394653,394952,394521,394648,394304,395134,394457,394484,395115,395160,394666,394602
SizeRank,2,3,4,6,8,9,10,13,14,16,17,18,20,21,23,24,25,26,28,29,31,32,37,40,44,46,47,48,49,51,53,57,64,65,66,70,73,74,77,78,80,83,86,96,159
RegionName,"Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Houston, TX","Miami-Fort Lauderdale, FL","Atlanta, GA","Boston, MA","Riverside, CA","Phoenix, AZ","Minneapolis-St Paul, MN","San Diego, CA","St. Louis, MO","Baltimore, MD","Denver, CO","Portland, OR","Charlotte, NC","Sacramento, CA","San Antonio, TX","Cincinnati, OH","Cleveland, OH","Las Vegas, NV","Columbus, OH","Nashville, TN","Jacksonville, FL","Hartford, CT","New Orleans, LA","Buffalo, NY","Raleigh, NC","Birmingham, AL","Rochester, NY","Tucson, AZ","Worcester, MA","Knoxville, TN","Greenville, SC","Ventura, CA","Dayton, OH","Greensboro, NC","Akron, OH","Stockton, CA","Charleston, SC","Colorado Springs, CO","Springfield, MA","Toledo, OH","Harrisburg, PA","Fort Collins, CO"
RegionType,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa,Msa
StateName,CA,IL,TX,TX,FL,GA,MA,CA,AZ,MN,CA,MO,MD,CO,OR,NC,CA,TX,OH,OH,NV,OH,TN,FL,CT,LA,NY,NC,AL,NY,AZ,MA,TN,SC,CA,OH,NC,OH,CA,SC,CO,MA,OH,PA,CO
2018-01-06,2045.0,2266.0,1489.0,1373.0,1358.0,1950.0,998.0,868.0,,389.0,,734.0,,495.0,583.0,1001.0,747.0,,293.0,363.0,,,,,7.0,160.0,181.0,239.0,160.0,178.0,,114.0,216.0,165.0,124.0,84.0,,118.0,174.0,232.0,175.0,74.0,116.0,175.0,
2018-01-13,2081.0,2338.0,1444.0,1430.0,1440.0,2071.0,980.0,883.0,,372.0,,772.0,,528.0,618.0,1059.0,771.0,,315.0,354.0,,,,,201.0,178.0,181.0,250.0,180.0,181.0,,122.0,239.0,191.0,130.0,100.0,,123.0,183.0,240.0,196.0,78.0,122.0,172.0,
2018-01-20,2041.0,2521.0,1388.0,1464.0,1492.0,2207.0,996.0,900.0,,360.0,,781.0,,582.0,674.0,1102.0,758.0,,335.0,352.0,,,,,246.0,178.0,181.0,272.0,202.0,178.0,,130.0,251.0,204.0,136.0,105.0,,128.0,178.0,264.0,202.0,76.0,125.0,155.0,
2018-01-27,2440.0,2928.0,1528.0,1708.0,1723.0,2541.0,1212.0,1055.0,,380.0,,905.0,,704.0,783.0,1265.0,851.0,,376.0,385.0,,,,,329.0,204.0,224.0,313.0,244.0,197.0,,159.0,294.0,235.0,158.0,119.0,,139.0,198.0,318.0,221.0,85.0,141.0,189.0,
2018-02-03,2904.0,3392.0,1725.0,1941.0,1919.0,2859.0,1426.0,1191.0,,401.0,,1011.0,,796.0,867.0,1396.0,954.0,,438.0,424.0,,,,,416.0,229.0,248.0,364.0,288.0,224.0,,185.0,336.0,256.0,179.0,133.0,,148.0,214.0,376.0,231.0,101.0,156.0,222.0,
