RegionName,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30
California,277022.83663911856,279512.15675162635,282001.47686413414,284490.796976642,286980.1170891498,289469.4372016576,291958.7573141654,294448.0774266732,296937.39753918105,299426.71765168884,301916.0377641967,304405.3578767045,306894.6779892123,309383.9981017201,311873.3182142279,314362.6383267357,316851.95843924355,319341.27855175134,321830.5986642592,324319.918776767,326809.23888927477,329298.5590017826,331787.8791142904,334277.19922679826,336766.51933930605,339255.83945181384,341745.1595643217,344234.4796768295,346723.7997893373,349213.1199018451,351702.4400143529,354191.76012686075,356681.08023936854,359170.4003518764,361659.7204643842,364149.040576892,366638.3606893998,369127.6808019076,371617.0009144154,374106.32102692325,376595.64113943104,379084.9612519389,381574.2813644467,384063.60147695447,386552.92158946226,389042.24170197017,391531.56181447796,394020.88192698575,396510.20203949354,398999.52215200133,401488.84226450924,403978.162377017,406467.4824895248,408956.8026020326,411446.1227145404,413935.4428270483,416424.7629395561,418914.0830520639,421403.4031645717,423892.72327707947,426382.0433895874,428871.36350209516,431360.68361460295,433850.00372711074,436339.32383961853,438828.64395212644,441317.96406463423,443807.284177142,446296.6042896498,448785.9244021576,451275.2445146654,453764.5646271733,456253.8847396811,458743.2048521889,461232.52496469667,463721.84507720446,466211.16518971237,468700.48530222016,471189.80541472795,473679.12552723574,476168.4456397435,478657.76575225143,481147.0858647592,483636.405977267,486125.7260897748,488615.0462022826,491104.3663147905,493593.6864272983,496083.0065398061,498572.3266523139,501061.64676482166,503550.96687732957,506040.28698983736,508529.60710234515,511018.92721485294,513508.24732736073,515997.56743986864,518486.8875523764,520976.2076648842,523465.527777392,525954.8478898997,528444.1680024078,530933.4881149156,533422.8082274233,535912.1283399311,538401.4484524389,540890.7685649467,543380.0886774545,545869.4087899623,548358.7289024701,550848.0490149779,553337.3691274857,555826.6892399937,558316.0093525015,560805.3294650093,563294.6495775171,565783.9696900249,568273.2898025326,570762.6099150404,573251.9300275482,575741.250140056,578230.5702525638,580719.8903650718,583209.2104775796,585698.5305900874,588187.8507025952,590677.170815103,593166.4909276108,595655.8110401186,598145.1311526264,600634.4512651342,603123.7713776419,605613.09149015,608102.4116026578,610591.7317151655,613081.0518276733,615570.3719401811,618059.6920526889
Texas,119735.43305785123,120480.83544343356,121226.2378290159,121971.64021459823,122717.04260018056,123462.4449857629,124207.84737134523,124953.24975692756,125698.6521425099,126444.05452809224,127189.45691367457,127934.8592992569,128680.26168483924,129425.66407042157,130171.0664560039,130916.46884158623,131661.87122716857,132407.2736127509,133152.67599833323,133898.07838391556,134643.4807694979,135388.88315508023,136134.28554066256,136879.6879262449,137625.0903118272,138370.49269740953,139115.89508299186,139861.2974685742,140606.69985415653,141352.10223973886,142097.5046253212,142842.90701090352,143588.30939648586,144333.7117820682,145079.11416765052,145824.51655323285,146569.9189388152,147315.32132439752,148060.72370997985,148806.12609556218,149551.52848114452,150296.93086672685,151042.33325230918,151787.7356378915,152533.13802347385,153278.54040905618,154023.9427946385,154769.34518022084,155514.74756580318,156260.1499513855,157005.55233696784,157750.95472255017,158496.3571081325,159241.75949371484,159987.16187929717,160732.5642648795,161477.96665046184,162223.36903604417,162968.7714216265,163714.17380720883,164459.57619279117,165204.9785783735,165950.38096395583,166695.78334953816,167441.1857351205,168186.58812070283,168931.99050628516,169677.3928918675,170422.79527744983,171168.19766303216,171913.6000486145,172659.00243419682,173404.40481977916,174149.8072053615,174895.20959094382,175640.61197652615,176386.0143621085,177131.41674769082,177876.81913327315,178622.22151885548,179367.62390443782,180113.02629002015,180858.42867560248,181603.8310611848,182349.23344676715,183094.63583234948,183840.0382179318,184585.44060351414,185330.84298909648,186076.2453746788,186821.64776026114,187567.05014584347,188312.4525314258,189057.85491700814,189803.25730259047,190548.6596881728,191294.06207375514,192039.46445933747,192784.8668449198,193530.26923050213,194275.67161608447,195021.0740016668,195766.47638724913,196511.87877283146,197257.2811584138,198002.68354399613,198748.08592957846,199493.4883151608,200238.89070074313,200984.29308632546,201729.6954719078,202475.09785749012,203220.50024307246,203965.9026286548,204711.30501423712,205456.70739981945,206202.1097854018,206947.51217098412,207692.91455656645,208438.31694214878,209183.71932773112,209929.12171331345,210674.52409889578,211419.9264844781,212165.32887006045,212910.73125564278,213656.1336412251,214401.53602680744,215146.93841238978,215892.3407979721,216637.74318355444,217383.14556913677,218128.5479547191,218873.95034030144,219619.35272588377,220364.7551114661,221110.15749704844,221855.55988263077
New York,242523.83071625343,243109.92921962173,243696.02772299002,244282.1262263583,244868.22472972661,245454.32323309488,246040.42173646318,246626.52023983147,247212.61874319974,247798.71724656806,248384.81574993633,248970.91425330463,249557.01275667292,250143.1112600412,250729.2097634095,251315.30826677778,251901.40677014607,252487.50527351437,253073.60377688264,253659.70228025096,254245.80078361923,254831.89928698752,255417.99779035582,256004.09629372408,256590.19479709238,257176.29330046067,257762.39180382897,258348.49030719727,258934.58881056553,259520.68731393383,260106.78581730212,260692.88432067042,261278.9828240387,261865.08132740698,262451.17983077525,263037.2783341436,263623.3768375119,264209.47534088016,264795.5738442484,265381.67234761675,265967.770850985,266553.8693543533,267139.9678577216,267726.0663610899,268312.16486445814,268898.26336782647,269484.36187119473,270070.46037456306,270656.5588779313,271242.65738129965,271828.7558846679,272414.8543880362,273000.9528914045,273587.0513947728,274173.14989814104,274759.24840150937,275345.3469048777,275931.4454082459,276517.5439116142,277103.64241498255,277689.7409183508,278275.8394217191,278861.9379250874,279448.03642845567,280034.13493182394,280620.23343519226,281206.3319385606,281792.4304419288,282378.5289452971,282964.62744866544,283550.7259520337,284136.824455402,284722.9229587703,285309.02146213857,285895.11996550683,286481.21846887516,287067.3169722434,287653.4154756117,288239.51397898,288825.61248234834,289411.7109857166,289997.8094890849,290583.9079924532,291170.00649582146,291756.10499918973,292342.20350255806,292928.3020059263,293514.4005092946,294100.4990126629,294686.59751603124,295272.6960193995,295858.79452276777,296444.8930261361,297030.99152950436,297617.0900328726,298203.18853624095,298789.2870396092,299375.3855429775,299961.4840463458,300547.58254971413,301133.6810530824,301719.77955645067,302305.878059819,302891.97656318726,303478.0750665555,304064.17356992385,304650.2720732921,305236.3705766604,305822.4690800287,306408.56758339703,306994.66608676524,307580.76459013356,308166.8630935019,308752.96159687015,309339.0601002384,309925.15860360675,310511.257106975,311097.3556103433,311683.4541137116,312269.5526170799,312855.65112044814,313441.74962381646,314027.8481271848,314613.94663055305,315200.0451339213,315786.14363728964,316372.2421406579,316958.3406440262,317544.4391473945,318130.5376507628,318716.63615413103,319302.73465749936,319888.8331608677,320474.93166423595,321061.0301676042,321647.12867097254,322233.2271743408,322819.3256777091
Florida,126664.39724517908,127691.41017663263,128718.42310808622,129745.43603953978,130772.44897099337,131799.46190244693,132826.47483390052,133853.48776535408,134880.50069680766,135907.51362826122,136934.5265597148,137961.53949116837,138988.55242262196,140015.56535407552,141042.5782855291,142069.59121698266,143096.60414843625,144123.6170798898,145150.6300113434,146177.64294279696,147204.65587425054,148231.6688057041,149258.6817371577,150285.69466861125,151312.7076000648,152339.7205315184,153366.73346297196,154393.74639442554,155420.7593258791,156447.7722573327,157474.78518878625,158501.79812023984,159528.8110516934,160555.82398314698,161582.83691460054,162609.84984605413,163636.8627775077,164663.87570896128,165690.88864041484,166717.90157186842,167744.91450332198,168771.92743477557,169798.94036622913,170825.95329768272,171852.96622913628,172879.97916058986,173906.99209204342,174934.005023497,175961.01795495057,176988.03088640416,178015.04381785772,179042.0567493113,180069.06968076486,181096.08261221845,182123.095543672,183150.1084751256,184177.12140657916,185204.13433803275,186231.1472694863,187258.1602009399,188285.17313239345,189312.18606384704,190339.1989953006,191366.2119267542,192393.22485820774,193420.23778966133,194447.2507211149,195474.26365256848,196501.27658402204,197528.28951547563,198555.30244692918,199582.31537838277,200609.32830983633,201636.34124128992,202663.35417274348,203690.36710419707,204717.38003565063,205744.3929671042,206771.40589855777,207798.41883001136,208825.43176146492,209852.4446929185,210879.45762437207,211906.47055582565,212933.4834872792,213960.4964187328,214987.50935018636,216014.52228163995,217041.5352130935,218068.5481445471,219095.56107600062,220122.5740074542,221149.5869389078,222176.5998703614,223203.61280181492,224230.6257332685,225257.6386647221,226284.65159617568,227311.6645276292,228338.6774590828,229365.6903905364,230392.70332198997,231419.7162534435,232446.7291848971,233473.74211635068,234500.75504780427,235527.7679792578,236554.7809107114,237581.79384216497,238608.80677361856,239635.8197050721,240662.83263652568,241689.84556797927,242716.85849943286,243743.8714308864,244770.88436233997,245797.89729379356,246824.91022524715,247851.92315670068,248878.93608815427,249905.94901960786,250932.96195106144,251959.97488251497,252986.98781396856,254014.00074542215,255041.01367687574,256068.02660832927,257095.03953978285,258122.05247123644,259149.06540269003,260176.07833414356,261203.09126559715,262230.10419705074,263257.1171285043,264284.13005995785,265311.14299141144,266338.15592286503,267365.1688543186
Illinois,160012.22438016528,160369.12186957427,160726.01935898326,161082.91684839225,161439.81433780125,161796.7118272102,162153.6093166192,162510.5068060282,162867.40429543718,163224.30178484617,163581.19927425517,163938.09676366416,164294.99425307312,164651.8917424821,165008.7892318911,165365.6867213001,165722.5842107091,166079.48170011805,166436.37918952707,166793.27667893603,167150.17416834502,167507.07165775402,167863.96914716298,168220.866636572,168577.76412598096,168934.66161538995,169291.55910479894,169648.45659420794,170005.35408361693,170362.2515730259,170719.1490624349,171076.04655184387,171432.94404125286,171789.84153066186,172146.73902007085,172503.63650947984,172860.5339988888,173217.43148829782,173574.32897770678,173931.22646711578,174288.12395652477,174645.02144593373,175001.91893534275,175358.8164247517,175715.7139141607,176072.6114035697,176429.5088929787,176786.40638238768,177143.30387179664,177500.20136120566,177857.09885061462,178213.99634002362,178570.8938294326,178927.79131884157,179284.6888082506,179641.58629765955,179998.48378706854,180355.38127647754,180712.27876588653,181069.17625529552,181426.07374470448,181782.9712341135,182139.86872352246,182496.76621293146,182853.66370234045,183210.5611917494,183567.45868115843,183924.3561705674,184281.25365997638,184638.15114938538,184995.04863879437,185351.94612820336,185708.84361761232,186065.74110702134,186422.6385964303,186779.5360858393,187136.4335752483,187493.33106465728,187850.22855406627,188207.12604347523,188564.02353288425,188920.92102229322,189277.8185117022,189634.7160011112,189991.61349052016,190348.51097992918,190705.40846933814,191062.30595874714,191419.20344815613,191776.10093756512,192132.9984269741,192489.89591638307,192846.7934057921,193203.69089520106,193560.58838461005,193917.48587401904,194274.383363428,194631.28085283702,194988.17834224598,195345.07583165498,195701.97332106397,196058.87081047296,196415.76829988195,196772.6657892909,197129.56327869993,197486.4607681089,197843.3582575179,198200.25574692688,198557.15323633587,198914.05072574486,199270.94821515383,199627.84570456285,199984.7431939718,200341.6406833808,200698.5381727898,201055.43566219875,201412.33315160777,201769.23064101674,202126.12813042573,202483.02561983472,202839.9231092437,203196.8205986527,203553.71808806167,203910.6155774707,204267.51306687965,204624.41055628864,204981.30804569763,205338.2055351066,205695.1030245156,206052.00051392458,206408.89800333357,206765.79549274256,207122.69298215155,207479.59047156054,207836.4879609695,208193.38545037853,208550.2829397875,208907.18042919648
Pennsylvania,156007.02961432506,156269.1847188462,156531.33982336737,156793.4949278885,157055.65003240964,157317.80513693078,157579.96024145195,157842.11534597308,158104.27045049425,158366.4255550154,158628.58065953653,158890.73576405767,159152.89086857883,159415.04597309997,159677.20107762114,159939.35618214228,160201.51128666342,160463.66639118455,160725.82149570572,160987.97660022686,161250.131704748,161512.28680926916,161774.4419137903,162036.59701831144,162298.75212283258,162560.90722735375,162823.06233187488,163085.21743639605,163347.3725409172,163609.52764543833,163871.68274995947,164133.83785448063,164395.99295900177,164658.14806352294,164920.30316804408,165182.4582725652,165444.61337708635,165706.76848160752,165968.92358612866,166231.07869064983,166493.23379517096,166755.3888996921,167017.54400421324,167279.6991087344,167541.85421325554,167804.00931777668,168066.16442229785,168328.319526819,168590.47463134013,168852.62973586126,169114.78484038243,169376.93994490357,169639.09504942474,169901.25015394588,170163.405258467,170425.56036298815,170687.71546750932,170949.87057203046,171212.02567655162,171474.18078107276,171736.3358855939,171998.49099011504,172260.6460946362,172522.80119915734,172784.95630367848,173047.11140819965,173309.2665127208,173571.42161724193,173833.5767217631,174095.73182628423,174357.88693080537,174620.04203532654,174882.19713984767,175144.3522443688,175406.50734888995,175668.66245341112,175930.81755793226,176192.97266245342,176455.12776697456,176717.2828714957,176979.43797601684,177241.593080538,177503.74818505914,177765.9032895803,178028.05839410145,178290.2134986226,178552.36860314372,178814.52370766486,179076.67881218603,179338.8339167072,179600.98902122834,179863.14412574947,180125.2992302706,180387.45433479175,180649.60943931292,180911.76454383406,181173.91964835522,181436.07475287636,181698.2298573975,181960.38496191864,182222.5400664398,182484.69517096094,182746.8502754821,183009.00538000325,183271.1604845244,183533.31558904552,183795.47069356666,184057.62579808783,184319.780902609,184581.93600713013,184844.09111165127,185106.2462161724,185368.40132069355,185630.55642521472,185892.71152973588,186154.86663425702,186417.02173877816,186679.1768432993,186941.33194782044,187203.4870523416,187465.64215686274,187727.7972613839,187989.95236590505,188252.10747042618,188514.26257494732,188776.4176794685,189038.57278398963,189300.7278885108,189562.88299303193,189825.03809755307,190087.1932020742,190349.34830659535,190611.50341111652,190873.65851563768,191135.81362015882,191397.96872467996,191660.1238292011,191922.27893372223
Ohio,106157.09063360882,106467.19695349215,106777.30327337547,107087.4095932588,107397.51591314212,107707.62223302544,108017.72855290878,108327.8348727921,108637.94119267543,108948.04751255875,109258.15383244207,109568.2601523254,109878.36647220873,110188.47279209204,110498.57911197538,110808.6854318587,111118.79175174203,111428.89807162536,111739.00439150867,112049.110711392,112359.21703127533,112669.32335115864,112979.42967104199,113289.5359909253,113599.64231080863,113909.74863069196,114219.85495057527,114529.9612704586,114840.06759034193,115150.17391022525,115460.28023010858,115770.3865499919,116080.49286987522,116390.59918975856,116700.70550964188,117010.8118295252,117320.91814940854,117631.02446929185,117941.13078917518,118251.23710905851,118561.34342894182,118871.44974882517,119181.55606870848,119491.66238859181,119801.76870847514,120111.87502835845,120421.98134824178,120732.08766812511,121042.19398800842,121352.30030789175,121662.40662777508,121972.51294765841,122282.61926754173,122592.72558742505,122902.83190730838,123212.93822719171,123523.04454707503,123833.15086695836,124143.25718684169,124453.36350672501,124763.46982660833,125073.57614649166,125383.68246637499,125693.78878625832,126003.89510614163,126314.00142602496,126624.10774590829,126934.2140657916,127244.32038567493,127554.42670555826,127864.53302544159,128174.6393453249,128484.74566520823,128794.85198509156,129104.95830497489,129415.0646248582,129725.17094474153,130035.27726462486,130345.38358450819,130655.4899043915,130965.59622427484,131275.70254415815,131585.8088640415,131895.9151839248,132206.02150380815,132516.12782369147,132826.23414357478,133136.3404634581,133446.44678334144,133756.55310322478,134066.6594231081,134376.7657429914,134686.87206287473,134996.97838275807,135307.08470264138,135617.19102252473,135927.29734240804,136237.40366229136,136547.50998217467,136857.616302058,137167.72262194136,137477.82894182467,137787.935261708,138098.0415815913,138408.14790147464,138718.254221358,139028.3605412413,139338.46686112462,139648.57318100793,139958.67950089127,140268.7858207746,140578.89214065793,140888.99846054125,141199.10478042456,141509.21110030788,141819.31742019122,142129.42374007456,142439.53005995788,142749.6363798412,143059.7426997245,143369.84901960785,143679.95533949116,143990.0616593745,144300.16797925782,144610.27429914114,144920.38061902445,145230.4869389078,145540.59325879114,145850.69957867445,146160.80589855777,146470.91221844108,146781.01853832442,147091.12485820774,147401.23117809108,147711.3374979744,148021.4438178577,148331.55013774103,148641.65645762437
Michigan,86444.66570247934,87155.95325369817,87867.240804917,88578.52835613584,89289.81590735467,90001.1034585735,90712.39100979234,91423.67856101118,92134.96611223002,92846.25366344885,93557.54121466768,94268.82876588652,94980.11631710535,95691.40386832418,96402.69141954301,97113.97897076185,97825.2665219807,98536.55407319951,99247.84162441836,99959.12917563718,100670.41672685603,101381.70427807487,102092.99182929369,102804.27938051254,103515.56693173136,104226.8544829502,104938.14203416902,105649.42958538787,106360.71713660669,107072.00468782554,107783.29223904439,108494.5797902632,109205.86734148205,109917.15489270087,110628.44244391972,111339.72999513854,112051.01754635738,112762.30509757623,113473.59264879505,114184.8802000139,114896.16775123272,115607.45530245156,116318.74285367038,117030.03040488923,117741.31795610805,118452.6055073269,119163.89305854574,119875.18060976456,120586.46816098341,121297.75571220223,122009.04326342107,122720.33081463989,123431.61836585874,124142.90591707756,124854.1934682964,125565.48101951525,126276.76857073407,126988.05612195292,127699.34367317174,128410.63122439058,129121.9187756094,129833.20632682825,130544.49387804707,131255.78142926592,131967.06898048476,132678.35653170358,133389.64408292243,134100.93163414125,134812.2191853601,135523.50673657891,136234.79428779776,136946.0818390166,137657.36939023543,138368.65694145428,139079.9444926731,139791.23204389194,140502.51959511076,141213.8071463296,141925.09469754843,142636.38224876727,143347.66979998612,144058.95735120494,144770.2449024238,145481.5324536426,146192.82000486145,146904.10755608027,147615.39510729912,148326.68265851794,149037.97020973678,149749.25776095563,150460.54531217445,151171.8328633933,151883.12041461212,152594.40796583096,153305.69551704978,154016.98306826863,154728.27061948745,155439.5581707063,156150.84572192514,156862.13327314396,157573.4208243628,158284.70837558163,158995.99592680047,159707.2834780193,160418.57102923814,161129.85858045696,161841.1461316758,162552.43368289465,163263.72123411347,163975.00878533232,164686.29633655114,165397.58388777,166108.8714389888,166820.15899020765,167531.4465414265,168242.73409264532,168954.02164386417,169665.30919508298,170376.59674630183,171087.88429752065,171799.1718487395,172510.45939995832,173221.74695117716,173933.034502396,174644.32205361483,175355.60960483368,176066.8971560525,176778.18470727134,177489.47225849016,178200.759809709,178912.04736092783,179623.33491214667,180334.62246336552,181045.91001458434,181757.1975658032,182468.485117022,183179.77266824085,183891.06021945967
Georgia,115327.80964187327,116015.79043220595,116703.7712225386,117391.75201287126,118079.73280320392,118767.7135935366,119455.69438386925,120143.67517420191,120831.65596453457,121519.63675486724,122207.6175451999,122895.59833553256,123583.57912586522,124271.55991619789,124959.54070653055,125647.5214968632,126335.50228719586,127023.48307752854,127711.4638678612,128399.44465819385,129087.42544852651,129775.40623885918,130463.38702919184,131151.36781952452,131839.34860985717,132527.32940018983,133215.3101905225,133903.29098085515,134591.2717711878,135279.25256152046,135967.23335185315,136655.2141421858,137343.19493251847,138031.17572285113,138719.15651318379,139407.13730351644,140095.1180938491,140783.09888418176,141471.07967451445,142159.0604648471,142847.04125517976,143535.02204551242,144223.00283584508,144910.98362617774,145598.9644165104,146286.94520684305,146974.92599717574,147662.9067875084,148350.88757784106,149038.86836817372,149726.84915850637,150414.82994883903,151102.8107391717,151790.79152950435,152478.77231983704,153166.7531101697,153854.73390050235,154542.714690835,155230.69548116767,155918.67627150033,156606.657061833,157294.63785216567,157982.61864249833,158670.599432831,159358.58022316365,160046.5610134963,160734.54180382896,161422.52259416162,162110.50338449428,162798.48417482697,163486.46496515963,164174.44575549228,164862.42654582494,165550.4073361576,166238.38812649026,166926.36891682292,167614.34970715558,168302.33049748826,168990.31128782092,169678.29207815358,170366.27286848624,171054.2536588189,171742.23444915155,172430.2152394842,173118.19602981687,173806.17682014956,174494.15761048222,175182.13840081487,175870.11919114753,176558.0999814802,177246.08077181285,177934.0615621455,178622.0423524782,179310.02314281085,179998.0039331435,180685.98472347617,181373.96551380883,182061.9463041415,182749.92709447414,183437.9078848068,184125.8886751395,184813.86946547215,185501.8502558048,186189.83104613746,186877.81183647012,187565.79262680278,188253.77341713544,188941.7542074681,189629.73499780078,190317.71578813344,191005.6965784661,191693.67736879876,192381.65815913142,193069.63894946408,193757.61973979673,194445.6005301294,195133.58132046208,195821.56211079474,196509.5429011274,197197.52369146005,197885.5044817927,198573.48527212537,199261.46606245803,199949.44685279072,200637.42764312337,201325.40843345603,202013.3892237887,202701.37001412135,203389.350804454,204077.33159478666,204765.31238511932,205453.293175452,206141.27396578467,206829.25475611733,207517.23554644999,208205.21633678264,208893.1971271153,209581.17791744796
North Carolina,144335.64393939392,144760.7430608607,145185.84218232747,145610.9413037942,146036.04042526102,146461.13954672776,146886.23866819454,147311.3377896613,147736.43691112805,148161.53603259486,148586.6351540616,149011.73427552838,149436.83339699515,149861.93251846192,150287.0316399287,150712.13076139544,151137.22988286224,151562.329004329,151987.42812579576,152412.52724726254,152837.62636872928,153262.72549019608,153687.82461166283,154112.9237331296,154538.02285459638,154963.12197606312,155388.22109752992,155813.32021899667,156238.41934046344,156663.51846193022,157088.617583397,157513.71670486376,157938.8158263305,158363.9149477973,158789.01406926406,159214.11319073083,159639.2123121976,160064.31143366435,160489.41055513115,160914.5096765979,161339.60879806467,161764.70791953144,162189.8070409982,162614.906162465,163040.00528393174,163465.1044053985,163890.20352686528,164315.30264833206,164740.40176979883,165165.50089126558,165590.60001273238,166015.69913419912,166440.7982556659,166865.89737713267,167290.99649859942,167716.09562006622,168141.19474153296,168566.29386299974,168991.3929844665,169416.49210593326,169841.59122740006,170266.6903488668,170691.78947033358,171116.88859180035,171541.98771326712,171967.0868347339,172392.18595620064,172817.28507766742,173242.3841991342,173667.48332060096,174092.58244206774,174517.68156353448,174942.7806850013,175367.87980646803,175792.9789279348,176218.07804940158,176643.17717086832,177068.27629233513,177493.37541380187,177918.47453526864,178343.57365673542,178768.67277820216,179193.77189966897,179618.8710211357,180043.97014260248,180469.06926406926,180894.16838553603,181319.2675070028,181744.36662846955,182169.46574993635,182594.5648714031,183019.66399286987,183444.76311433665,183869.8622358034,184294.9613572702,184720.06047873694,185145.1596002037,185570.25872167049,185995.35784313723,186420.45696460403,186845.55608607078,187270.65520753755,187695.75432900432,188120.8534504711,188545.95257193787,188971.05169340462,189396.15081487142,189821.24993633816,190246.34905780494,190671.4481792717,191096.54730073846,191521.64642220526,191946.745543672,192371.84466513878,192796.94378660555,193222.0429080723,193647.1420295391,194072.24115100584,194497.34027247262,194922.4393939394,195347.53851540617,195772.63763687294,196197.73675833968,196622.8358798065,197047.93500127323,197473.03412274,197898.13324420678,198323.23236567352,198748.33148714033,199173.43060860707,199598.52973007385,200023.62885154062,200448.72797300736,200873.82709447417,201298.9262159409,201724.0253374077,202149.12445887446,202574.22358034123
